state,lgd_state_code,district_name_lgd,district_name_local,formed_or_renamed,dominant_parent_at_formation,basis_note,lgd_district_code
AP,28,Anakapalli,Anakapalli,2022-04-04,Visakhapatnam,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Kakinada,Kakinada,2022-04-04,East Godavari,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Dr. B.R. Ambedkar Konaseema,Dr B R Ambedkar Konaseema,2022-04-04,East Godavari,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Eluru,Eluru,2022-04-04,West Godavari,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,NTR,NTR,2022-04-04,Krishna,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Bapatla,Bapatla,2022-04-04,Guntur,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Palnadu,Palnadu,2022-04-04,Guntur,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Nandyal,Nandyal,2022-04-04,Kurnool,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Sri Sathya Sai,Sri Sathya Sai,2022-04-04,Ananthapuramu,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Annamayya,Annamayya,2022-04-04,YSR Kadapa,NEW_2022,PENDING_FOUNDER_EXPORT
AP,28,Tirupati,Tirupati,2022-04-04,Chittoor,NEW_2022,PENDING_FOUNDER_EXPORT
TS,36,Adilabad,Adilabad,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Nizamabad,Nizamabad,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Karimnagar,Karimnagar,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Medak,Medak,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Hyderabad,Hyderabad,PRE-2016-BASIS,,CONTINUES_2016 (minor boundary changes),PENDING_FOUNDER_EXPORT
TS,36,Rangareddy,Rangareddy,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Mahabubnagar,Mahabubnagar,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Nalgonda,Nalgonda,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Warangal,Warangal,RENAME~2018-21 UNVERIFIED,Warangal (Rural),RENAME_EVENT: ex-Warangal-Rural; GO check pending,PENDING_FOUNDER_EXPORT
TS,36,Khammam,Khammam,PRE-2016-BASIS,,CONTINUES_2016 (boundaries changed),PENDING_FOUNDER_EXPORT
TS,36,Hanumakonda,Hanumakonda,RENAME~2018-21 UNVERIFIED,Warangal (Urban),RENAME_EVENT: ex-Warangal-Urban; GO check pending,PENDING_FOUNDER_EXPORT
TS,36,Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,2016-10-11,Adilabad,NEW,PENDING_FOUNDER_EXPORT
TS,36,Mancherial,Mancherial,2016-10-11,Adilabad,NEW,PENDING_FOUNDER_EXPORT
TS,36,Nirmal,Nirmal,2016-10-11,Adilabad,NEW,PENDING_FOUNDER_EXPORT
TS,36,Kamareddy,Kamareddy,2016-10-11,Nizamabad,NEW,PENDING_FOUNDER_EXPORT
TS,36,Jagtial,Jagtial,2016-10-11,Karimnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Peddapalli,Peddapalli,2016-10-11,Karimnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Rajanna Sircilla,Rajanna Sircilla,2016-10-11,Karimnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Sangareddy,Sangareddy,2016-10-11,Medak,NEW,PENDING_FOUNDER_EXPORT
TS,36,Siddipet,Siddipet,2016-10-11,Medak,NEW,PENDING_FOUNDER_EXPORT
TS,36,Vikarabad,Vikarabad,2016-10-11,Rangareddy,NEW,PENDING_FOUNDER_EXPORT
TS,36,Medchal-Malkajgiri,Medchal Malikajgiri,2016-10-11,Rangareddy,NEW,PENDING_FOUNDER_EXPORT
TS,36,Wanaparthy,Wanaparthy,2016-10-11,Mahabubnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Nagarkurnool,Nagarkurnool,2016-10-11,Mahabubnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Jogulamba Gadwal,Jogulamba Gadwal,2016-10-11,Mahabubnagar,NEW,PENDING_FOUNDER_EXPORT
TS,36,Suryapet,Suryapet,2016-10-11,Nalgonda,NEW,PENDING_FOUNDER_EXPORT
TS,36,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,2016-10-11,Nalgonda,NEW,PENDING_FOUNDER_EXPORT
TS,36,Jangaon,Jangaon,2016-10-11,Warangal,NEW,PENDING_FOUNDER_EXPORT
TS,36,Jayashankar Bhupalpally,Jayashankar Bhupalpally,2016-10-11,Warangal,NEW,PENDING_FOUNDER_EXPORT
TS,36,Mahabubabad,Mahabubabad,2016-10-11,Warangal,NEW,PENDING_FOUNDER_EXPORT
TS,36,Bhadradri Kothagudem,Bhadradri Kothagudem,2016-10-11,Khammam,NEW,PENDING_FOUNDER_EXPORT
TS,36,Mulugu,Mulugu,2019-02-17,Warangal,NEW,PENDING_FOUNDER_EXPORT
TS,36,Narayanpet,Narayanpet,2019-02-17,Mahabubnagar,NEW,PENDING_FOUNDER_EXPORT
